USDA accession,host plant name,common name,source,geographic source,taxonomy,note
USDA1280,Medicago sativa,alfalfa (Beltsville-2An4),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
USDA1279,Medicago sativa,alfalfa (Pioneer-521),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Dennis Christensen Farm, Riverton,WY, 10/5/81",,Sandy loam
USDA1278,Medicago sativa,alfalfa (Apollo),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1277,Medicago sativa,alfalfa (Apollo),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1276,Medicago sativa,alfalfa (Apollo),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1275,Medicago sativa,alfalfa (Apollo),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1274,Medicago sativa,alfalfa (Perry),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Plant Science Greenhouse, Univ. of WY, Laramie, WY, 10/5/81",,Sandy loam
USDA1273,Medicago sativa,alfalfa (Saranac),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1272,Medicago sativa,alfalfa (Saranac),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1271,Medicago sativa,alfalfa (Saranac),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA1270,Medicago sativa,alfalfa (Saranac),"Rollin H. Abernethy, University of Wyoming, 10/16/81","Agronomy Farm, Univ. of WY, Laramie, WY, 10/5/81",,Sandy clay loam
USDA127,Glycine max,soybean,USDA original,"Iowa, 1961",Bradyrhizobium,
USDA1269,Medicago sativa,alfalfa (Saranac-AR),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1268,Medicago sativa,alfalfa (Saranac-AR),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1267,Medicago sativa,alfalfa (Saranac-AR),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1266,Medicago sativa,alfalfa (Saranac-AR),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1265,Medicago sativa,alfalfa (Tempo),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1264,Medicago sativa,alfalfa (Pioneer-531),"Tom McCoy, Reno, Nevada, 10/5/81","Valley Road, Reno, Nevada, 10/1/81",,Sandy loam
USDA1263,Medicago sativa,alfalfa (Moapa 69),"Dr. W.F. Lehman,12/24/81","11 miles east of El Centro, CA, 12/4/81",,Light sandy loam
USDA1262,Medicago sativa,alfalfa (Moapa 69),"Dr. W.F. Lehman,12/24/81","11 miles east of El Centro, CA, 12/4/81",,Light sandy loam
USDA1261,Medicago sativa,alfalfa (Moapa 69),"Dr. W.F. Lehman,12/24/81","11 miles east of El Centro, CA, 12/4/81",,Light sandy loam
USDA1260,Medicago sativa,alfalfa (Moapa 69),"Dr. W.F. Lehman,12/24/81","11 miles east of El Centro, CA, 12/4/81",,Light sandy loam
USDA126,Glycine max,soybean,USDA original,"Maryland, 1961",Bradyrhizobium japonicum,
USDA1259,Medicago sativa,alfalfa (Matador),"Dr. W.F. Lehman,12/24/81","24 miles west of El Centro, CA, 12/4/81",,Sandy
USDA1258,Medicago sativa,alfalfa (Matador),"Dr. W.F. Lehman,12/24/81","24 miles west of El Centro, CA, 12/4/81",,Sandy
USDA1257,Medicago sativa,alfalfa (Mesa Sirsa),"Dr. W.F. Lehman,12/24/81","6 miles northt of El Centro, CA, 12/4/81",,Medium clay loam
USDA1256,Medicago sativa,alfalfa (Mesa Sirsa),"Dr. W.F. Lehman,12/24/81","6 miles north of El Centro, CA, 12/4/81",,Medium clay loam
USDA1255,Medicago sativa,alfalfa (Mesa Sirsa),"Dr. W.F. Lehman,12/24/81","6 miles north t of El Centro, CA, 12/4/81",,Medium clay loam
USDA1254,Medicago sativa,alfalfa (CUF 101),"Dr. W.F. Lehman,12/24/81","6 miles east of El Centro, CA, 12/4/81",,Heavy clay
USDA1253,Medicago sativa,alfalfa (CUF 101),"Dr. W.F. Lehman,12/24/81","6 miles east of El Centro, CA, 12/4/81",,Heavy clay
USDA1252,Medicago sativa,alfalfa (CUF 101),"Dr. W.F. Lehman,12/24/81","6 miles east of El Centro, CA, 12/4/81",,Heavy clay
USDA1251,Medicago sativa,alfalfa (CUF 101),"Dr. W.F. Lehman,12/24/81","6 miles east of El Centro, CA, 12/4/81, 12/4/81",,Heavy clay
USDA1250,Medicago sativa,alfalfa (Moapa 69),"Larry Tueber, Davis, CA, 11/5/82","University of CA, Davis, Agronomy Farm, 10/27/81",,Mollic Haploxeralf
USDA125,Glycine max,soybean,USDA original,"Maryland, 1961",Bradyrhizobium japonicum,serotype strain of the serogroup
USDA1249,Medicago sativa,alfalfa (Moapa 69),"Larry Tueber, Davis, CA, 11/5/81","University of CA, Davis, Agronomy Farm, 10/27/81",,Mollic Haploxeralf
USDA1248,Medicago sativa,alfalfa (Moapa 69),"Larry Tueber, Davis, CA, 11/5/81","University of CA, Davis, Agronomy Farm, 10/27/81",,Mollic Haploxeralf
USDA1247,Medicago sativa,alfalfa (Amador),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1246,Medicago sativa,alfalfa (Amador),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1245,Medicago sativa,alfalfa (Amador),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1244,Medicago sativa,alfalfa (Amador),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1243,Medicago sativa,alfalfa (Pioneer-581),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1242,Medicago sativa,alfalfa (Pioneer-581),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1241,Medicago sativa,alfalfa (Pioneer-581),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1240,Medicago sativa,alfalfa (Pioneer-581),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA124,Glycine max,soybean,USDA original,"Mississippi, 1960",Bradyrhizobium japonicum,serotype strain of the serogroup
USDA1239,Medicago sativa,alfalfa (WL-318),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1238,Medicago sativa,alfalfa (WL-318),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1237,Medicago sativa,alfalfa (WL-318),"Larry Tueber, Davis, CA, 11/5/81","2.5 miles north of Esparto, CA, 10/27/81",,Marvin silty clay loam
USDA1236,Medicago sativa,alfalfa (WL-318),"P.J. Bottomly, Corvallis, Oregon","Echo, Oregon, 5/9/80",,Hermiston silt loam
USDA1235,Medicago sativa,alfalfa (WL-318),"P.J. Bottomly, Corvallis, Oregon","Echo, Oregon, 5/9/80",,Hermiston silt loam
USDA1234,Medicago sativa,alfalfa (Vernal),"P.J. Bottomly, Corvallis, Oregon","Prineville, Oregon, 5/9/80",,Ochoco Sandy Loam
USDA1233,Medicago sativa,alfalfa (Vernal),"P.J. Bottomly, Corvallis, Oregon","Prineville, Oregon, 5/9/80",,Ochoco Sandy Loam
USDA1232,Medicago sativa,alfalfa (Vernal),"P.J. Bottomly, Corvallis, Oregon","Prineville, Oregon, 5/9/80",,Ochoco Sandy Loam
USDA1231,Medicago sativa,alfalfa (Anchor),"P.J. Bottomly, Corvallis, Oregon","Prineville, Oregon, 5/9/80",,Deschutes sandy loam
USDA1230,Medicago sativa,alfalfa (Anchor),"P.J. Bottomly, Corvallis, Oregon","Bend, Oregon, 5/9/80",,Deschutes sandy loam
USDA123,Glycine max,soybean,USDA original,"Iowa, 1960",Bradyrhizobium japonicum,"serotype strain of the serogroup, inneffective"
USDA122SR,Glycine max,soybean,,,Bradyrhizobium japonicum,streptomycin rifampin resistant derivative of 122DES
USDA1229,Medicago sativa,alfalfa (Anchor),"P.J. Bottomly, Corvallis, Oregon","Bend, Oregon, 5/9/80",,Deschutes sandy loam
USDA1228,Medicago sativa,alfalfa (Saranac),"P.J. Bottomly, Corvallis, Oregon","Ione, Oregon, 5/9/80",,Esquatzel silt loam
USDA1227,Medicago sativa,alfalfa (Saranac),"P.J. Bottomly, Corvallis, Oregon","Ione, Oregon, 5/9/80",,Esquatzel silt loam
USDA1226,Medicago sativa,alfalfa (Saranac),"P.J. Bottomly, Corvallis, Oregon","Echo, Oregon, 5/9/80",,Hermiston silt loam
USDA1225,Medicago sativa,alfalfa (Saranac),"P.J. Bottomly, Corvallis, Oregon","Echo, Oregon, 5/9/80",,Hermiston silt loam
USDA1224,Medicago sativa,alfalfa (Gladiator),"Richard Peaden, IAREC, Prosser, WA","Prosser, Washington, 5/18/82",,Warden very fine sandy loam.
USDA1223,Medicago sativa,alfalfa (Gladiator),"Richard Peaden, IAREC, Prosser, WA","Prosser, Washington, 5/18/82",,Warden very fine sandy loam.
USDA1222,Medicago sativa,alfalfa (Gladiator),"Richard Peaden, IAREC, Prosser, WA","Prosser, Washington, 5/18/82",,Warden very fine sandy loam.
