.
Glycine max
Trifolium beckwithii
Trifolium carolinianum
Trifolium lappaceum
Trifolium striatum
Trifolium wildenovii
Trifolium arvense
Trifolium burchellianum var. johnstonii
Trifolium nigrescens
not specified
Medicago ruthenica
Medicago murex
Medicago scutellata
Medicago minima
Medicago scutelliata
Medicago doliata
Medicago laciniata
Medicago falcata
Medicago sativa varia
Medicago satvia
Medicago orbicularis
Medicago turbinata
Medicago polymorpha
Medicago intertexta
Medicago coronata
Trigonella spp.
Medicago marina
Medicago littoralis
Medicago constricta
Medicago praecox
Medicago ridgidula
Medicago sp.
Medicago arabica
Medicago rigidula
Medicago spp.
Medicago radiata
Medicago noena
Medicago polymorpha.
Medicago rotata
Medicago arborea
Medicago lupulina
Melilotus spp.
GLycine max
Trigonella corniculatus
Melilotus indica
Medicago ciliaris
Medicago rugosa
"Medicago polymorpha, subsp. hispida"
no record
Trigonella corniculata
Trigonella balansae
Melilotus sp.
Melilotus officinalis
Medicago arbiculanis
Medicago arabica burclover
Medicago savvagei
Pongamia
Prosopis glandulosa var Torr glandulosa
